input_corrector,output_corrector,gold_standard,tag
"A miña pregunta é ¿Porque non ser médicos, arquitectos, dentistas...?","A miña pregunta é ¿Por que non ser médicos, arquitectos, dentistas... ?","A miña pregunta é: ¿por que non ser médicos, arquitectos, dentistas...,?",1
"Tamén é certo que no caso de Don Mariano, contesta de mala maneira e con malas palabras, e non é a forma máis axeitada de dirixirse a unha filla que, ao mellor, non se percatou do problema que lle supuxo ao seu pai atender esa chamada, o que agravaría aínda máis o problema.","Tamén é certo que no caso de Don Mariano, contesta de mala maneira e con malas palabras, e non é a forma máis axeitada de dirixirse a unha filla que, ao mellor, non se percatara do problema que lle supuso ao seu pai atender esa chamada, o que agravaría aínda máis o problema.","Tamén é certo que, no caso de don Mariano, contesta de mala maneira e con malas palabras, e non é a forma máis axeitada de dirixirse a unha filla que, ao mellor, non se decatou do problema que lle supuxo ao seu pai atender esa chamada, o que agravaría aínda máis o problema.",1
"Non todo o mundo pode chegar a xogar nunha Liga profesional porque é imposibel igual que o de ser modelo, para iso necesitase pasar unha serie de probas e ter un bó estado físico e moitas persoas que intentasen obter estos resultados non o conseguirian porque é un esforzo moi grande.","Non todo o mundo pode chegar a xogar nunha liga profesional porque é imposible como o de ser modelo, para iso hai que superar unha serie de probas e estar en bo estado físico e moitas persoas que intentaran conseguir estes resultados non o conseguiran porque é un esforzo demasiado grande.","Non todo o mundo pode chegar a xogar nunha liga profesional porque é imposíbel, igual que o de ser modelo. Para iso necesítase pasar unha serie de probas e ter un bo estado físico e moitas persoas que intentasen obter estes resultados non o conseguirían porque supón un esforzo moi grande.",1
"Neste caso dedúcese que o que pasa é que a filla de Don Mariano quere ir de compras e a nai non lle deixa, polo que chama ó seu pai para intentar convencelo.","Neste caso dedúcese que o que pasa é que a filla de Don Mariano quere ir de compras e a súa nai non lle deixa, polo que chama á súa avoa para tentar convencela.","Neste caso dedúcese que o que pasa é que a filla de don Mariano quere ir de compras e a nai non lle deixa, polo que chama ó seu pai para intentar convencelo.",1
"Eu creo que cando somos nenos deberíamos obter unha boa educación por parte dos nosos pais privandonos de certos obxetos, aínda que choremos porque non o repetiremos nun futuro porque sabemos que non funciona.","Eu creo que cando somos nenos debemos recibir unha boa educación por parte dos nosos pais privándonos de certos obxectos, aínda que choraramos porque non o repetirémos nun futuro porque sabemos que non funciona.","Eu creo que cando somos nenos deberiamos recibir unha boa educación por parte dos nosos pais, privándonos de certos obxectos, aínda que choremos, porque non o repetiremos nun futuro porque sabemos que non funciona.",1
"Neste momento nos que podamos darnos de conta do que está a suceder coa perda de interese das principais manifestacións científico-culturais, é cando deberíamos pensar todos os cidadans que é o que estamos a facer mal e se o que queremos, para o futuro das vindeiras xeracións é que aspiren a traballar como tronistas dalgún reality televisivo.","Neste momento podemos darnos de conta do que está a suceder coa perda de interese polas principais manifestacións científico-culturais, é cando debemos pensar todos os cidadáns que é o que estamos facendo mal e se o que queremos, para as futuras xeracións, é que aspiren a traballar coma tronistas dalgúns realities televisivos.","Neste momento no que podemos darnos de conta do que está a suceder coa perda de interese das principais manifestacións científico-culturais, é cando deberiamos pensar todos os cidadáns que é o que estamos a facer mal e se o que queremos, para o futuro das vindeiras xeracións é que aspiren a traballar como tronistas dalgún reality televisivo.",1
"En resumen, creo que todos deberíamos valorar máis outras cousas non tan materialistas, e chamar a alguén, aínda que sepas que está traballando, só en caso de emerxencia.","En resumo, creo que todos deberiamos valorar máis outras cousas non tan materialista, e chamar a alguén, aínda que sepa que estea traballando, so en caso de emerxencia.","En resumo, creo que todos deberiamos valorar máis outras cousas non tan materialistas, e chamar a alguén, cando saibas que está traballando, só en caso de emerxencia.",1
"Cando deberíamos plantearnos a idea de que eles xa tiveron a nosa idade, e que as súas hormonas tamén estiveron ""dando tumbos"" pola súa cabeza.","Cando deberiamos plantearnos a idea de que elas xa tiveron a nosa idade, e que as súas hormonas tamén estiveran dando tumbos pola súa cabeza.","cando deberiamos considerar a idea de que eles xa tiveron a nosa idade, e que as súas hormonas tamén estiveron ""dando tombos"" pola súa cabeza.",1
"Desde moi pequenos recibimos diferentes influencias que nos marcan para o resto das nosas vidas, creando ilusións que nunca poderemos cumplir, debido a nosa condición social, ao noso físico etc... Primeiramente cabe dicir que ter aspiracións altas na vida no é algo malo, senón todo o contrario, xa que senón sempre estaríamos na nosa zona de confort.","Desde moi pequenos recibimos diferentes influencias que nos marcan para o resto das nosas vidas, creando ilusións que nunca podremos cumprir, debido á nosa condición social, ao noso físico etc… Primeiramente cabe dicir que ter aspiracións altas na vida non é algo malo, senón todo o contrario, xa que sen elas sempre estariamos na nosa zona de conforto.","Desde moi pequenos recibimos diferentes influencias que nos marcan para o resto das nosas vidas, creando ilusións que nunca poderemos cumprir, debido á nosa condición social, ao noso físico etc.... Primeiramente, cabe dicir que ter aspiracións altas na vida non é algo malo, senón todo o contrario, xa que, se non, sempre estariamos na nosa zona de confort.",1
"Estou de acordo que o pai non lle dé a razón a súa filla se non a ten porque él non pode contradicir a educación que súa nai lle está impoñendo, me refiro a que si un lle consinte unha cousa e outro non lla consinte eso é unha mala referencia para a adolescente.","Estou de acordo con que o pai non lle dea a razón á súa filla se non a ten porque el non pode contradícir a educación que a súa nai lle está impoñendo, referíndome a que se un lle consente unha cousa e outro non llo consente iso é unha mala referencia para a adolescente.","Estou de acordo con que o pai non lle dea a razón á súa filla se non a ten, porque el non pode contradicir a educación que súa nai lle está impoñendo. me refiro a que, se un lle consente unha cousa e outro non lla consente, iso é unha mala referencia para a adolescente.",1
A adolescente quere ir a sitios caros e o pai lle di que hai moitos máis sitios para comprala rebaixada.,A adolescente quere ir a lugares caros e o pai díxolle que hai moitos outros lugares onde mercar roupa rebentada.,A adolescente quere ir a sitios caros e o pai lle dille que hai moitos máis sitios para comprala rebaixada.,1
"A rapaza precisa de chamar a atención dos seus pais (os cales non estarán moito na casa), é o fai de forma caprichosa.","A rapaza precisa de chamar a atención dos seus pais (os cales non estarán moito na casa), faino de forma caprichosa.","A rapaza precisa de chamar a atención dos seus pais (os cales non estarán moito na casa), e o faino de forma caprichosa.",1
"E estos conflictos familiares se desvanecen, lóxicamente todos nos tenemos pequenos roces aos 15, 30 ou 40 anos cos nosos pais, familiares e amigos, pero é o normal.","E estes conflitos familiares se desvanecen, lóxicamente todos nós temos pequenos roces aos 15, 30 ou 40 anos cos nosos pais, familiares e amigos, pero é o normal.","E estes conflitos familiares se desvanécense. Loxicamente todos nós temos pequenos rozamentos aos 15, 30 ou 40 anos cos nosos pais, familiares e amigos, pero é o normal.",1
"A parte xa o simple feito de que as nenas queran ser modelos e os nenos futbolistas, nós amosa esa desigualdad que nós debemos erradicar.","A parte xa só o simples feito de que as nenas queiran ser modelos e os nenos futbolistas, nos amósanos esa desigualdade que debemos erradicar.","Á parte, xa o simple feito de que as nenas queiran ser modelos e os nenos futbolistas, nós amósanos esa desigualdade que nós debemos erradicar.",1
"Na época de adolescencia é unha época chea de conflictos xa que é unha etapa dura nosas vidas, e cando somos tan novos e inexpertos necesitamos o apoio de figuras paternas e maternas, sen embargo non é unha tarea doada xa que é a idade con máis cambios de humor e incomprensión por parte dos nenos xa que está chea de cambios, tanto corporales como na mentalidade.","Na época de adolescencia é unha época chea de conflitos xa que é unha etapa dura das nosas vidas, e cando somos tan novos e inexpertos necesitamos o apoio de figuras paternais e maternas, sen embargo non é unha tarefa doada xa que é a idade con máis cambios de humor e incomprensión por parte dos nenos xa que está chea de cambios, tanto corporais coma na mentalidade.","A época da adolescencia é unha época chea de conflitos, xa que é unha etapa dura das nosas vidas, e cando somos tan novos e inexpertos necesitamos o apoio de figuras paternas e maternas. Porén, non é unha tarefa doada, xa que é a idade con máis cambios de humor e incomprensión por parte dos nenos, xa que está chea de cambios, tanto corporais como na mentalidade.",1
"É así, que temos que tentar favorecer e axudar á sociedade da cultura, da información e de igualdade, onde todo non estea dominado polos cartos, e sexan estes os que inflúen aos nosos xoves.","É así, que temos que intentar favorecer e axudar á sociedade da cultura, da información e de igualdade, onde todo non estea dominado polos cartos, e sexan estes os que inflúan nos nosos mozos.","É así, que temos que tentar favorecer e axudar á sociedade da cultura, da información e da igualdade, onde todo non estea dominado polos cartos, e non sexan estes os que inflúan nos nosos xoves.",1
"Os nenos non teñen a heroes como científicos ou feministas, xa que son os estándares da sociedade actual os que non os valoran en sí.","Os nenos non teñen heroes coma científicos ou feministas, xa que son os estándares da sociedade actual os que non os valoran en si mesmos.","Os nenos non teñen a heroes como científicos ou feministas, xa que son os estándares da sociedade actual os que non os valoran en si mesmos.",1
"Por iso, temos que cambiar, dende o meu punto, o ensino e os valores que estan mamando os máis pequenos.","Por iso, temos que cambiar, desde o meu punto, o ensino e os valores que están mamando os máis pequenos.","Por iso, temos que cambiar, dende o meu punto de vista, o ensino e os valores que están mamando os máis pequenos.",1
Os pais hoxe en día teñen unha difícil labor cos fillos.,Os pais hoxe en día teñen unha difícil tarefa cos fillos.,Os pais hoxe en día teñen un difícil labor cos fillos.,1
Estou de acordo con que non fixeron unha labor cultural pero si un esforzo físico progresivo.,Estou de acordo con que non fixeron unha labor cultural pero si un esforzo físico progresivo.,"Estou de acordo con que non fixeron un labor cultural, pero si un esforzo físico progresivo.",1
"Estes rapaces son o futuro da cultura galega e se non coñecen os orixes da súa cultura, que será cando estes rapaces e rapazas teñan fillos?","Estes rapaces son o futuro da cultura galega e se non coñecen os seus orixes, que será cando estas persoas teñan fillos?","Estes rapaces son o futuro da cultura galega e se non coñecen as orixes da súa cultura, que ocorrerá cando estes rapaces e rapazas teñan fillos?",1
Todo isto produce un empobrecemento cultural da sociedade xa que o que importa é o fútbol e a vida das distintas personaxes públicas.,Todo isto produce un empobrecimento cultural da sociedade xa que o que importa é o fútbol e a vida das distintas persoas públicas.,"Todo isto produce un empobrecemento cultural da sociedade, xa que o que importa é o fútbol e a vida das distintos personaxes públicos.",1
"Chegamos a esta situación pola cultura do carto rápido como menciona o texto de Mercedes Queixas, a sociedade promove a búsqueda de fortuna a cambio de nada en lugar de buscar o reconocimento social por unha labor ben feita.","Chegamos a esta situación pola cultura do carro rápido como menciona o texto de Mercedes Queixas, a sociedade promove a busca da fortuna a cambio de nada en lugar de buscar o recoñecemento social por unha labor ben feita.","Chegamos a esta situación pola cultura do carto rápido. Como sinala o texto de Mercedes Queixas, a sociedade promove a busca de fortuna a cambio de nada en lugar de buscar o recoñecemento social por un labor ben feito.",1
"Toda esta xente trascendeu, deixando tras de si un legado que fai posible a sociedade na que vivimos.","Toda esta xente transcendeu, deixando tras de si un legado que fai posible a sociedade na que vivimos.","Todas estas xente trascenderon, deixando tras de si un legado que fai posible a sociedade na que vivimos.",1
A confianza e o respeto veñen ligados á educación.,A confianza e o respecto veñen ligados á educación.,A confianza e o respecto veñen ligados á educación.,0
"Na miña opinión, visto dende fóra, o problema entre Vanesa e os seus pais é a rebeldía e o seu desexo de facer o que lle ven en gana Aínda así, non apoio que os pais lle falten ao respeto aos seus fillos cando non fan o que deben ou levan unha mala racha.","Na miña opinión, visto dende fóra, o problema entre Vanesa e os seus pais é a rebeldía e o seu desexo de facer o que lles ve en gana; aínda así, non apoio que os pais lles falten ao respecto aos seus fillos cando non fan o que deben ou levan unha mala racha.","Na miña opinión, visto dende fóra, o problema entre Vanesa e os seus pais é a rebeldía e o seu desexo de facer o que lle apetece. Aínda así, non apoio que os pais lles falten ao respecto aos seus fillos cando non fan o que deben ou levan unha mala tempada.",1
A falta de educación é un problema moi grave xa que cada vez a sociedade vaise facendo máis vulgar; a falta de respeto hacia os pais orixina que non teñan respeto polas outras persoas.,A falta de educación é un problema moi grave xa que cada vez a sociedade vai facéndose máis vulgar; a falta de respecto cara aos pais origina que non teñamos respecto por outras persoas.,"A falta de educación é un problema moi grave, xa que cada vez a sociedade se vai facendo máis vulgar; a falta de respecto cara aos pais orixina que non teñan respecto polas outras persoas.",1
"Imos crecendo e xogamos ás bonecas, e son tan perfetas, altas e delgadas.","Iremos medrando e xogaremos coas bonecas, e serán tan perfectas, altas e esbeltas.","Imos crecendo e xogamos ás bonecas, e son tan perfectas, altas e delgadas.",1
"En conclusión, o mellor que podes facer é educar a teu fillo dunha maneira adecuada, non só polo simple feito de que sempre che pida cousas, se non, porque a súa actitude contigo será totalmente diferente.","En conclusión, o mellor que podes facer é educar a túa filla dunha maneira axeitada, non só polo simples feito de que ela te pida constantemente cousas, senón tamén por mor da súa actitude cara ti.","En conclusión, o mellor que podes facer é educar ao teu fillo dunha maneira adecuada, non só polo simple feito de que sempre che pida cousas, senón, porque a súa actitude contigo será totalmente diferente.",1
"Isto pasou, pasa e pasará por que todos somos nenos nalgún momento na nosa vida, eu penso nos nosos pais e penso pobres, o que lle facemos pasar.","Isto pasou, pasa e pasará porque todos somos nenos nalgún momento da nosa vida, penso nos meus pais e penso pobres, o que lles fixemos pasar.","Isto pasou, pasa e pasará porque todos somos nenos nalgún momento na nosa vida. Eu penso nos nosos pais e penso: ""pobres, o que lles facemos pasar"".",1
"Non é só pola ropa, se nón que agora coa época da tecnoloxía gastase moito máis.","Non é só pola roupa, senón tamén porque na era tecnolóxica gastamos moito diñeiro.","Non é só pola roupa, senón que agora, coa época da tecnoloxía, gástase moito máis.",1
A realidade non é tan negativa como a presenta se non que ese feito e algo moi normal.,A realidade non é tan negativa como a presenta; se non que ese feito é algo moi normal.,"A realidade non é tan negativa como a presenta, senón que ese feito é algo moi normal.",1
"En conclusión, quizá a cultura galega en certos ámbitos non sexa o máis interesante para os rapaces, pero non é por que soamente soñen con modelos e deportistas, senon porque buscan outro tipo de cultura sexa artística, científica ou doutro tipo...","En conclusión, quizais a cultura galega en certos ámbitos non sexa o máis interesante para os rapaces, mais non é por que unicamente soñan con modelos e deportistas, senón porque buscan outro tipo de cultura sexa artística, científica ou doutra índole…","En conclusión, quizá a cultura galega en certos ámbitos non sexa o máis interesante para os rapaces, pero non é porque soamente soñen con modelos e deportistas, senón porque buscan outro tipo de cultura, sexa artística, científica ou doutro tipo.",1
Que os mozos queran ser futbolistas ou modelos é un sono que moitos teñen na mente pero que en realidade saben que é algo moi dificil de realizar a si que é mellor que estuden a que segan con un soño que non se vai poder cumplir.,Que os mozos queren ser futbolistas ou modelos é un soño que moitos teñen na mente pero que en realidade saben que é algo moi difícil de realizar; por iso é mellor que estudien a que sigan cun soño que non se vai cumprir.,"Que os mozos queiran ser futbolistas ou modelos é un soño que moitos teñen na mente, pero que en realidade saben que é algo moi difícil de realizar, así que é mellor que estuden a que sigan cun soño que non se vai poder cumprir.",1
"Por parte dos pais que só queren o mellor para os seus fillos, e para os fillos que queren ter liberdade coma os adultos.","Por parte dos pais que só queren o mellor para os seus fillos, e para os fillos que queren ter liberdade coma os adultos.","Por parte dos pais, que só queren o mellor para os seus fillos, e, por parte dos fillos, que queren ter liberdade coma os adultos.",1
"É certo que moitos nenos e nenas teñen soños con ser futbolistas ou modelos, é de acordo a autora, non é un bo síntoma de mentalidade social.","É certo que moitos nenos e nenas teñen soños con ser futbolistas ou modelos, segundo a autora, non é un bo síntoma da súa mentalidade social.","É certo que moitos nenos e nenas teñen soños de ser futbolistas ou modelos, e, de acordo á autora, non é un bo síntoma da mentalidade social.",1
"Por norma xeral, neste tipo de conflitos, cando o pai ou a nai din que non a algo que a filla ou o fillo queren, adoita ser para que os fillos aprendan unha lección, co cal, sempre deberían facerlle caso aos pais, e por desgracia, isto non é así.","Por norma xeral, neste tipo de conflitos, cando o pai ou a nai din que non a algo que a filla ou o fillo queren, adoitan ser para que os fillos aprendan unha lección, polo cal, sempre deben facerlles caso ós pais, e por desgraza, isto non é así.","Por norma xeral, neste tipo de conflitos, cando o pai ou a nai din que non a algo que a filla ou o fillo queren, adoita ser para que os fillos aprendan unha lección, co cal, sempre deberían facerlles caso aos pais, e, por desgraza, isto non é así.",1
"Un deles é o típico que ocorre cando o pai ou, en este caso a nai, dille que non a algo que o fillo ou filla desexa.","Un deles é o típico que ocorre cando o pai ou, neste caso a nai, lle di que non a algo que o fillo ou filla desexan.","Un deles é o típico que ocorre cando o pai, ou, neste caso a nai, lle di que non a algo que o fillo ou a filla desexa.",1
Realmente deberíase cobrar en función a responsabilidade á que se esté exposto no traballo e non por saír na televisión ou en internet.,Realmente debería cobrarse en función da responsabilidade á que se estea exposta no traballo e non pola exposición mediática.,Realmente deberíase cobrar en función á responsabilidade á que se estea teña no traballo e non por saír na televisión ou en Internet.,1
"Problemas como este poden levarse ao extremo como pode verse en programas como ""Hermano mayor"" onde os rapaces causan problemas serios nas casas.","Problemas coma estes poden levarse ao extremo como pode verse en programas como 'Hermano maior', onde os rapaces causan problemas serios nas casas.","Problemas como este poden levarse ao extremo, como pode verse en programas como ""Hermano Mayor"", onde os rapaces causan problemas serios nas casas.",1
"Os nenos e nenas de hoxe en día crecen acostumados a analizar moita información que poden percibir a través de internet, anuncios pola rúa ou pola televisión, sobre todo pola televisión.","Os nenos e as nenas de hoxe en día crecen acostumados a analizar moita información que poden percibir a través de internet, anuncios pola rúa ou pola televisión, sobre todo pola televisión.","Os nenos e nenas de hoxe en día crecen acostumados a analizar moita información que poden percibir a través de Internet, anuncios pola rúa ou pola televisión, sobre todo pola televisión...",1
estos conflictos veñen dados por ambas dúas partes xa que é unha etapa onde os fillos pasan de ser nenos a adolescentes e iso ás veces non é doado para os pais.,estes conflitos veñen dados por ambas as dúas partes xa que é unha etapa onde os fillos pasan de ser nenos a adolescentes e iso ás veces non é doado para os pais.,"Estes conflitos veñen dados por ambas as dúas partes, xa que é unha etapa onde os fillos pasan de ser nenos a adolescentes e iso ás veces non é doado para os pais.",1
"con isto non quero dicir que os grandes persoaxes públicos sexan uns vagos, cada un vive do que lle gusta e polo que loita.","con isto non quero dicir que os grandes persoaxes públicos son uns vagos, cada un vive do que lle gusta e polo que loita.","Con isto non quero dicir que os grandes personaxes públicos sexan uns vagos, cada un vive do que lle gusta e polo que loita.",1
Estos modelos de comportamento e seguimento deben cambiar.,Estes modelos de comportamento e seguimento deben cambiarse.,Estes modelos de comportamento e seguimento deben cambiar.,1
"Verdadeiramente, como di a autora, estos personaxes non deberían nin influenciar desta maneira nin ser capaces de persuadir á sociedade.","Verdadeiramente, como di a autora, estes personaxes non deberían nin influír nesta maneira nin ser capaces de persuadir á sociedade.","Verdadeiramente, como di a autora, estes personaxes non deberían nin influenciar desta maneira nin ser capaces de persuadir a sociedade.",1
"Todos esos momentos non se mostran e igual sería moi interesante facelo, porque nesta vida, de balde, non hai nada.","Todos eses momentos non se mostran e igual sería moi interesante facelo, porque nesta vida, de balde, non hai nada.","Todos eses momentos non se mostran e igual sería moi interesante facelo, porque nesta vida, de balde, non hai nada.",0
"No obstante os fillos nalgúns casos son moi irresponsables e non pensan que aos pais lles costa traballar para que nos poidamos disfrutar dunhas condicións de vida boas Algunas persoas non lle importa o esforzo realizado polos pais senon que se dedican a pedir diñeiro ou que lle compre roupa e eles en vez de recompensar polo menos aos seus pais estudando, pasanse o tempo saindo cos seus amigos.","No entanto, algúns dos nenos son moi desagradecidos e non valoran o traballo duro que fan os seus pais para proporcionarlles unha boa calidade de vida. Algunhas persoas non respectan o sacrificio feito por estes últimos senón que piden constantemente cartos ou cousas materiais mentres pasan o seu tempo libre con outros amigos.","Non obstante, os fillos nalgúns casos son moi irresponsables e non pensan que aos pais lles custa traballar para que nós poidamos gozar dunhas condicións de vida boas. A algunhas persoas non lles importa o esforzo realizado polos pais, senón que se dedican a pedir diñeiro ou que lles compren roupa e eles, en vez de recompensar polo menos aos seus pais estudando, pasan o tempo saíndo cos seus amigos.",1
"Mais tamén pode ser de que o rapaz non estea ben cos seus pais e por iso haia ises problemas ou que estea con moito estrés, na cal isto pode xerar problemas temporais.","Mais tamén pode ser de que o rapaz non estea ben cos seus pais e por iso hai eses problemas ou que estea con moito estrés, no cal isto pode xerar problemas temporais.","Mais tamén pode ser de que o rapaz non estea ben cos seus pais e por iso haxa eses problemas ou que estea con moito estrés, o cal isto pode xerar problemas temporais.",1
"Un inconveniente máis propio da actualidade da convivencia entre pais e fillos é a gran taxa de paro xuvenil, pois, hai anos, ante unha situación familiar totalmente insostenible, o fillo só tiña que agardar aos dezaoito anos para traballar e poder saír da casa, mais, hoxe, se non quere rematar vivindo na rúa, necesita estudos para atopar un traballo, e, mentres estuda, ten que estar na casa, o que pode provocar, na maioría dos casos, que o fillo remate de madurar e faga as paces cos seus pais ou, noutros, que o fillo teña que ""buscarse a vida"", o que non sempre remata ben.","Un inconveniente máis propio da actualidade da convivencia entre pais e fillos é a grande taxa de paro xuvenil, pois, hai anos, ante unha situación familiar totalmente insostenible, o fillo só tiña que esperar ós dezaoito anos para traballar e poder saír da casa, mais, hoxe, se non quere acabar vivindo na rúa, precisa estudos para atopar un traballo, e, mentres estuda, ten que estar na casa, o que pode provocar, na maioría dos casos, que o fillo acabe de madurecer e faga as paces cos seus pais ou, noutros, que o fillo teña que 'buscarse a vida', o que non sempre acaba ben.","Un inconveniente máis propio da actualidade da convivencia entre pais e fillos é a gran taxa de paro xuvenil, pois, hai anos, ante unha situación familiar totalmente insostible, o fillo só tiña que agardar aos dezaoito anos para traballar e poder saír da casa, mais, hoxe, se non quere rematar vivindo na rúa, necesita estudos para atopar un traballo, e, mentres estuda, ten que estar na casa, o que pode provocar, na maioría dos casos, que o fillo remate de madurar e faga as paces cos seus pais ou, noutros, que o fillo teña que ""buscar a vida"", o que non sempre remata ben.",1
"Estas actitudes non son boas nin pra os fillos nin pra os pais, as cales poden chegar a acabar en conflicto.","Estas actitudes non son boas nin para os fillos nin para os pais, que poden chegar a acabar en conflito.","Estas actitudes non son boas nin pra os fillos nin pra os pais, e as cales poden chegar a acabar en conflito.",1
"A audiencia medra considerablemente na información deportiva, especialmente tras eventos ""sinalados"", dos cales poden estar falando e sacándolles información e temas durante un gran número de días.","A audiencia medra considerablemente na información deportiva, especialmente tras eventos ""sinalados"", dos cales poden estar falando e sacándolles información e temas durante un grande número de días.","A audiencia medra considerablemente na información deportiva, especialmente tras eventos ""sinalados"", dos cales poden estar falando e sacando información e temas durante un gran número de días.",1
"En conclusión, a mocidade, tanto pequenos como maiores, debería de deixar de centrarse en ser popular e chegar a ser quen realmente se quere, e con una cultura básica.","En conclusión, a mocidade, tanto pequenos coma maiores, debería de deixar de centrarse en ser popular e chegar a ser quen realmente se quere, e cunha cultura básica.","En conclusión, a mocidade, tanto pequenos como maiores, debería de deixar de centrarse en ser popular e chegar a ser quen realmente se quere, e cunha cultura básica.",1
"Na miña opinión creo que é culpa das dúas partes: dos pais por consentir máis do que deben e dos fillos por ser demasiado egoístas O outro problema é o de ""dillo a mamá"" ou ""dillo a papá"", que é o que a maioría dos pais din ós seus fillos cando non teñen a forza para tomar unha decisión ou simplemente queren quitarse a responsabilidade de enriba.",Na miña opinión creo que é culpa das dúas partes: dos pais por consentir máis do que deben e dos fillos por ser demasiado egoísta,"Na miña opinión, creo que é culpa das dúas partes: dos pais por consentir máis do que deben e dos fillos por ser demasiado egoístas. O outro problema é o de ""dillo a mamá"" ou ""dillo a papá"", que é o que a maioría dos pais din ós seus fillos cando non teñen a forza para tomar unha decisión ou simplemente queren quitar a responsabilidade de enriba.",1
"Non discuto, que ás veces pódase dar un capricho ao fillo, pero todo en exceso é malo, e ao mellor chega o momento no que non podas compracelos como sempre e estes estén mal acostumados.","Non discuto, que ás veces pódese dar un capricho ao fillo, pero todo en exceso é malo, e ao mellor chega o momento no que non poidas complacelo coma sempre e este estea mal acostumado.","Non discuto, que ás veces se poida dar un capricho ao fillo, pero todo en exceso é malo, e ao mellor chega o momento no que non poidas compracelo como sempre e o rapaz estea mal acostumado.",1
"A importancia da imaxe persoal ten máis valor que nunca, deixando como consecuencia, atrás todo tipo de coñecementos que lle axuden a mellorar como persoa.","A importancia da imaxe persoal ten máis valor que nunca, deixando como consecuencia, atrás todo tipo de coñecementos que lle axudan a mellorar como persoa.","A importancia da imaxe persoal ten máis valor que nunca, deixando, como consecuencia, atrás todo tipo de coñecementos que nos axuden a mellorar como persoas.",1
"Os pais, preocupados polos seus fillos, a súa estabilidade e o seu futuro, ás veces, intentan dar unha gran protección e pouca liberdade aos seus fillos que acaba por aborrecer a estes creando así un malestar no ambiente familiar.","Os pais, preocupados polo s seus fillos, pola súa estabilidade e polo seu futuro, ás veces, intentan darlles unha grande protección e pouca liberdade que acabará por aborrecelos a eles mesmos, creando así un malestar na familia.","Os pais, preocupados polos seus fillos, a súa estabilidade e o seu futuro, ás veces, intentan dar unha gran protección e pouca liberdade aos seus fillos, que acaban por aborrecer a aqueles, creando así un malestar no ambiente familiar.",1
"En conclusión, a protección dos pais aos cativos é necesaria, así como o consello destes, e aínda sendo esta en xusta medida os problemas de entendemento na casa nestas idades son prácticamente inevitables.","En conclusión, a protección dos pais aos cativos é necesaria, así como o seu consello, e aínda que sexa esta en xusta medida os problemas de entendemento na casa nestes anos son practicamente inevitables.","En conclusión, a protección dos pais aos cativos é necesaria, así como o consello destes, e, aínda ofrecéndose a primeira na súa xusta medida, os problemas de entendemento na casa nestas idades son practicamente inevitables.",1
"Por outra banda una sobreprotección do menor por parte dos pais, pode levar a este a una inestabilidade moi perigosa en todolos ámbitos da rutina diaria.","Por outra banda unha sobreprotección do menor por parte dos pais, pode levalos a unha inestabilidade moi perigosa en todos os ámbitos da súa rutina diaria.","Por outra banda, unha sobreprotección do menor por parte dos pais, pode levar a aquel a unha inestabilidade moi perigosa en tódolos ámbitos da rutina diaria.",1
"Ensinemos os nenos o verdadeiro significado do valor, de a gran riqueza.","Ensinémoslle aos nenos o verdadeiro significado do valor, da grande riqueza.","Ensinemos ós nenos o verdadeiro significado do valor, da gran riqueza.",1
O gracioso é que non me sorprende en absoluto ningunha das dúas respostas xa que os culpables de elas somos nós e a sociedade na que vivimos.,O gracioso é que non me sorprenden en absoluto ningunha das dúas respostas xa que os culpables delas somos nós e a sociedade na que vivimos.,"O gracioso é que non me sorprende en absoluto ningunha das dúas respostas, xa que os culpables delas somos nós e a sociedade na que vivimos.",1
"De estas situacións moitas veces proveñen os casos de acoso ou ""bullying"" que se sofre tanto na escola como polas redes.",De estas situacións moitas veces proveñen os casos de acoso ou «bullying» que se sofre tanto na escola como polas redes.,"Destas situacións moitas veces proveñen os casos de acoso ou ""bullying"" que se sofre tanto na escola como polas redes.",1
"Todos os deportistas, non tiveron un acceso ao carto rápido como di no texto.","Todos os deportistas, non tiveron un acceso ao carro rápido como di no texto.","Todos os deportistas, non tiveron un acceso ao carto rápido, como di no texto.",1
Pero hai outros cómo por exemplo cando unha nai ou un pai manda facer algo e non o fan.,Pero hai outros como por exemplo cando unha nai ou un pai mandan facer algo e non o fan.,"Pero hai outros como, por exemplo, que unha nai ou un pai manda facer algo e non o fagan.",1
"Se ben é certo que a falta de mentes privilexiadas escasea, non creo que que os rapaces queiran ser futbolistas ou modelos sexa algo malo.","Se ben é certo que a falta de mentes privilexiadas escasea, non creo que que os rapaces queiran ser futbolistas ou modelos sexa algo malo.","Se ben é certo que a falta de mentes privilexiadas escasea, non creo que que os rapaces queiran ser futbolistas ou modelos sexa algo malo.",0
Neste caso fala dese conflicto pero existen moitos máis.,Neste caso fala deses conflictos pero existen moitos máis.,"Neste caso fala dese conflito, pero existen moitos máis.",1
Non pensa nas repercusións que pode ter.,non pense nas repercusións que pode ter,Non pensa nas repercusións que poden ter.,1
